what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431662372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431663611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431663977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431664875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431665128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431666396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431666816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431667295
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1469431668770
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1469431669087
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1469431669102
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1469431669129
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1469431669134
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1469431669141
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1469431669145
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1469431669146
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1469431669168
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1469431669210
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1469431669236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431672710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431672716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431672954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431673085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431674471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431696457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431697156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431698226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431699080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431711866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431713430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431722950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469431728515
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1469431729299
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1469431730233
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1469431730275
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1469431730333
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1469431730358
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1469431730374
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1469431730405
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1469431730429
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1469431730471
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1469431730473
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1469431730713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469431733666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431740633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431740636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431740722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431740809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431742235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469431772127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469432137142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469432148854
