what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468233210959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468233215979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468233218009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468233218174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468233218805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468233220576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468233245561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234574034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234577153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234587140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234587452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234595278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234599837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234853403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234854430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234871709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468234871886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235217293
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468235222294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235225147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468235225881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235227468
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468235237139
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1468235237251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235270215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235271207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235297832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235299879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235356680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468235361708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235363426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235370432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235371494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235384906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235388755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468235392699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235395613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468235403819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235404988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235419179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235421474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235430716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235434385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235449102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235452543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468235466848
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1468235470726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235478357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235478817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235479415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235563203
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468235566056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235569554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235580015
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468235580065
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468235580114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468235583570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235619771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235634782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235670018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235676528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235683081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235728836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235734923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235741629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235770455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235771275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235771615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235774849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235776533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235777713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235782270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235782889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235783315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235788961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468235793101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235796070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235803074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235804324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468235828273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235829053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235898514
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1468235898544
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235898545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235899643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468235904822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468235905266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468235907233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468235912152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468235913857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235960971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468235974295
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1468236001323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236006806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236010864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236076932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236080043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236221999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236222479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468236250694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236270876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468236271539
