what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469104320995
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1469104329306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1469104336228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1469104359063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1469104376779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104383521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104384577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104392170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104392180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104392260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104392355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104393916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104436382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104437346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104438055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469104453136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469104476092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469104476475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469104476871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469104481840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469104484749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104529750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104564055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469104566375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104570839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104572889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104576149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104576857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469104644577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469104664937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469104666647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104676692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104676702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104676782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104676916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104678564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104699586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104799227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104800583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104801463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104802563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104803463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104808234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104809274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104810184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104811424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104813034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104813874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104815214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469104822844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469104825314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469104853678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469104855298
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1469104866460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104870207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104870207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104870297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104870437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104871893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104897465
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1469104920098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104923775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104923786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104923867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104924056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104925550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469104948083
