what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1469180814228
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469180819386
closed,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1469180819411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469180823990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469180852691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469180854828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469180857762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469180858712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469180877361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181049357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181051169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181054824
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469181057163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181058806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181078663
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181078743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181078784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1469181080525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469181081485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181093600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181093706
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181093756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181093785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181097278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181098175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181098225
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181098225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181101683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181102488
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181102555
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181102555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181102924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181206809
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469181209747
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181210888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181210950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181212422
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181212422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469181213123
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181213326
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181213357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181215649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181220141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469181221459
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1469181226052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181237418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181237552
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181237598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181237638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181239135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181242068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181242161
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181242218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181243923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181248170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181248274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181251261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181251334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469181253496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469181253694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1469181256444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469181257818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181259021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181260297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181260353
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181260353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181262763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181350871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469181355592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1469181366577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181367749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181368868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181368927
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469181368927
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1469181378747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469181384491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181389253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181389402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181397785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181397864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469181397922
