what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469102280883
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1469102282816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102297908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102297914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102297998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102298120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102299384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102300710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102300725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102307257
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1469102307297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102313541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102318955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102337287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102337297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102337387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102337489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102338964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102358333
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469102371602
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1469102373083
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1469102373833
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469102374756
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469102375459
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1469102376069
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1469102378642
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1469102381163
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1469102382331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469102401371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102424779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102455596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469102464361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102476441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1469102476761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102509406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102511162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102511265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469102512147
